"country","year","infant_mortality","life_expectancy","fertility","population","gdp","continent","region"
"Guinea",1960,NA,35.71,6.1,3577413,NA,"Africa","WesternAfrica"
"Guinea-Bissau",1960,NA,43.14,5.83,616407,NA,"Africa","WesternAfrica"
"Guyana",1960,67.7,59.08,5.67,564222,385886207,"Americas","SouthAmerica"
"Haiti",1960,194.8,42.1,6.32,3866160,NA,"Americas","Caribbean"
"Honduras",1960,140.9,47.71,7.46,2002333,1502038539,"Americas","CentralAmerica"
"HongKongChina",1960,NA,67.45,5.16,3075752,NA,"Asia","EasternAsia"
"Hungary",1960,53.4,68.13,2.05,10001270,10486859064,"Europe","EasternEurope"
"Iceland",1960,17.5,74.22,4.13,175520,1775037087,"Europe","NorthernEurope"
"India",1960,165.1,41.26,5.87,449661874,81042654922,"Asia","SouthernAsia"
"Indonesia",1960,148.4,45.01,5.67,87792512,18448917543,"Asia","South-EasternAsia"
"Iran",1960,191.61,46,6.93,21906905,NA,"Asia","SouthernAsia"
"Iraq",1960,131.7,46.96,6.25,7289759,NA,"Asia","WesternAsia"
"Ireland",1960,30.4,70.76,3.86,2819059,NA,"Europe","NorthernEurope"
"Israel",1960,32,68.55,3.84,2089891,12313161088,"Asia","WesternAsia"
"Italy",1960,44.2,69.19,2.37,49714962,293540646267,"Europe","SouthernEurope"
"Jamaica",1960,62,65.91,5.42,1630914,NA,"Americas","Caribbean"
"Japan",1960,30.4,67.78,2,92500754,719165142029,"Asia","EasternAsia"
"Jordan",1960,107.5,53.3,7.69,888632,NA,"Asia","WesternAsia"
"Kazakhstan",1960,NA,58.91,4.56,9995997,NA,"Asia","CentralAsia"
"Kenya",1960,118.6,47.42,7.95,8105440,2116484537,"Africa","EasternAfrica"
"Kiribati",1960,NA,45.84,6.95,41234,NA,"Oceania","Micronesia"
"SouthKorea",1960,80.2,53.02,6.16,25074028,28928298962,"Asia","EasternAsia"
"Kuwait",1960,101.6,62.15,7.25,261962,NA,"Asia","WesternAsia"
"KyrgyzRepublic",1960,NA,56.09,5.17,2172500,NA,"Asia","CentralAsia"
"Lao",1960,155,42.13,5.96,2119944,NA,"Asia","South-EasternAsia"
"Latvia",1960,35,70.37,1.9,2132368,NA,"Europe","NorthernEurope"
"Lebanon",1960,57.6,62.9,5.74,1804927,NA,"Asia","WesternAsia"
"Lesotho",1960,143.3,47.02,5.84,851412,112602724,"Africa","SouthernAfrica"
"Liberia",1960,212,35.24,6.41,1120314,678395865,"Africa","WesternAfrica"
"Libya",1960,164.5,44.59,7.54,1434576,NA,"Africa","NorthernAfrica"
"Lithuania",1960,52,70.33,2.55,2770737,NA,"Europe","NorthernEurope"
"Luxembourg",1960,33,68.99,2.35,314586,4302303281,"Europe","WesternEurope"
"MacaoChina",1960,NA,64.93,4.95,171456,NA,"Asia","EasternAsia"
"MacedoniaFYR",1960,120,60.85,3.72,1488664,NA,"Europe","SouthernEurope"
"Madagascar",1960,112,41.96,7.3,5099371,2087989940,"Africa","EasternAfrica"
"Malawi",1960,218.2,38.51,6.91,3618604,347712093,"Africa","EasternAfrica"
"Malaysia",1960,67.4,59.89,6.19,8160975,6631037036,"Asia","South-EasternAsia"
"Maldives",1960,NA,38.07,7.02,89875,NA,"Asia","SouthernAsia"
"Mali",1960,237.4,29.61,6.7,5263730,NA,"Africa","WesternAfrica"
"Malta",1960,36.4,68.32,3.53,312788,NA,"Europe","SouthernEurope"
"Mauritania",1960,135,43.91,6.78,858170,319353267,"Africa","WesternAfrica"
"Mauritius",1960,67.8,58.74,6.17,660023,NA,"Africa","EasternAfrica"
"Mexico",1960,100.6,57.34,6.78,38174114,94354817785,"Americas","CentralAmerica"
"MicronesiaFed.Sts.",1960,NA,56.82,6.93,44539,NA,"Oceania","Micronesia"
"Moldova",1960,NA,62.22,3.33,3003557,NA,"Europe","EasternEurope"
"Mongolia",1960,NA,49.2,6.95,955514,NA,"Asia","EasternAsia"
"Montenegro",1960,NA,63.86,3.52,487416,NA,"Europe","SouthernEurope"
"Morocco",1960,145,49.64,7.07,12328534,7532416437,"Africa","NorthernAfrica"
"Mozambique",1960,183,38.17,6.6,7493278,NA,"Africa","EasternAfrica"
"Namibia",1960,102,47.07,6.15,602545,NA,"Africa","SouthernAfrica"
"Nepal",1960,219.6,39.8,5.99,10056945,1354713257,"Asia","SouthernAsia"
"Netherlands",1960,16.4,73.35,3.12,11418652,98359287391,"Europe","WesternEurope"
"NewCaledonia",1960,NA,56.38,5.22,78058,NA,"Oceania","Melanesia"
"NewZealand",1960,22.6,71.28,3.54,2371999,NA,"Oceania","AustraliaandNewZealand"
"Nicaragua",1960,134,50.69,7.34,1774696,2103502588,"Americas","CentralAmerica"
"Niger",1960,NA,36.82,7.05,3395212,1020197091,"Africa","WesternAfrica"
"Nigeria",1960,165,40.39,6.35,45211614,12836410903,"Africa","WesternAfrica"
"Norway",1960,18.4,73.66,2.88,3582016,38302651835,"Europe","NorthernEurope"
"Oman",1960,164,44.64,7.25,551737,538829577,"Asia","WesternAsia"
"Pakistan",1960,192,46.79,6.6,44911810,8608436616,"Asia","SouthernAsia"
"Panama",1960,66.9,61.62,5.87,1132924,1930103379,"Americas","CentralAmerica"
"PapuaNewGuinea",1960,134.6,38.6,6.28,1966957,837055577,"Oceania","Melanesia"
"Paraguay",1960,62.6,66.35,6.5,1902871,1263290494,"Americas","SouthAmerica"
"Peru",1960,135.9,48.95,6.88,10061519,16356280982,"Americas","SouthAmerica"
"Philippines",1960,67.9,58.82,7.15,26273023,17990832237,"Asia","South-EasternAsia"
"Poland",1960,57.8,67.92,2.97,29716363,NA,"Europe","EasternEurope"
"Portugal",1960,84.6,64.23,3.16,8875311,20981025078,"Europe","SouthernEurope"
"PuertoRico",1960,NA,68.58,4.66,2355570,8883563977,"Americas","Caribbean"
"Qatar",1960,94,60.82,6.97,47309,NA,"Asia","WesternAsia"
"Romania",1960,69,65.92,2.32,18613835,NA,"Europe","EasternEurope"
"Russia",1960,NA,68.61,2.56,119860289,NA,"Europe","EasternEurope"
"Rwanda",1960,127.9,43.07,8.19,2933424,623378345,"Africa","EasternAfrica"
"St.Lucia",1960,NA,56.97,6.97,89901,NA,"Americas","Caribbean"
"St.VincentandtheGrenadines",1960,NA,57.85,7.22,80948,107215633,"Americas","Caribbean"
"Samoa",1960,92,51.45,7.65,108645,NA,"Oceania","Polynesia"
"SaudiArabia",1960,150,47.62,7.22,4086539,NA,"Asia","WesternAsia"
"Senegal",1960,126.3,38.46,6.95,3177560,1870217818,"Africa","WesternAfrica"
"Serbia",1960,NA,63.33,2.63,7556730,NA,"Europe","SouthernEurope"
"Seychelles",1960,73.6,60.42,5.27,41538,48981400,"Africa","EasternAfrica"
"SierraLeone",1960,223.6,36.07,6.03,2181701,488526149,"Africa","WesternAfrica"
"Singapore",1960,35.5,65.02,5.82,1633718,3705795365,"Asia","South-EasternAsia"
"SlovakRepublic",1960,33,70.42,3.09,4137224,NA,"Europe","EasternEurope"
"Slovenia",1960,37,68.62,2.32,1586632,NA,"Europe","SouthernEurope"
"SolomonIslands",1960,131.8,50.55,6.39,117869,NA,"Oceania","Melanesia"
"SouthAfrica",1960,NA,49.01,6.17,17396367,38336071006,"Africa","SouthernAfrica"
"Spain",1960,47.7,69.23,2.77,30450994,113021529146,"Europe","SouthernEurope"
"SriLanka",1960,72.7,59.76,5.54,9896172,2708601390,"Asia","SouthernAsia"
"Sudan",1960,107.4,49.54,6.69,7527450,3292300613,"Africa","NorthernAfrica"
"Suriname",1960,NA,60.58,6.61,289972,NA,"Americas","SouthAmerica"
"Swaziland",1960,141.7,44.78,6.72,349233,NA,"Africa","SouthernAfrica"
"Sweden",1960,16.3,73.01,2.2,7479602,85028727553,"Europe","NorthernEurope"
"Switzerland",1960,21.6,71.46,2.52,5296120,NA,"Europe","WesternEurope"
"Syria",1960,121.8,52.87,7.47,4592777,2203477369,"Asia","WesternAsia"
"Tajikistan",1960,NA,57.1,6.24,2064035,NA,"Asia","CentralAsia"
"Tanzania",1960,144.3,45.57,6.81,10074490,NA,"Africa","EasternAfrica"
"Thailand",1960,102.2,55.46,6.15,27397178,8764726641,"Asia","South-EasternAsia"
"Timor-Leste",1960,NA,37.74,6.37,499525,NA,"Asia","South-EasternAsia"
"Togo",1960,162.4,41.06,6.52,1580513,278575742,"Africa","WesternAfrica"
"Tonga",1960,NA,61.2,7.36,61600,NA,"Oceania","Polynesia"
"TrinidadandTobago",1960,56.6,63.07,5.26,848481,2811586619,"Americas","Caribbean"
"Tunisia",1960,173.4,43.2,7.04,4176266,NA,"Africa","NorthernAfrica"
"Turkey",1960,166,46.91,6.3,27553280,44566050533,"Asia","WesternAsia"
"Turkmenistan",1960,NA,54.91,6.42,1593501,NA,"Asia","CentralAsia"
"Uganda",1960,132.3,45.27,7,6788211,NA,"Africa","EasternAfrica"
"Ukraine",1960,NA,70.88,2.42,42662150,NA,"Europe","EasternEurope"
"UnitedArabEmirates",1960,137.3,51.85,6.93,92612,NA,"Asia","WesternAsia"
"UnitedKingdom",1960,22.9,71.02,2.69,52410496,525328308407,"Europe","NorthernEurope"
"UnitedStates",1960,25.9,69.91,3.67,186176524,2479391093100,"Americas","NorthernAmerica"
"Uruguay",1960,57.7,67.95,2.88,2538651,10614613898,"Americas","SouthAmerica"
"Uzbekistan",1960,NA,59.35,6.71,8789492,NA,"Asia","CentralAsia"
"Vanuatu",1960,106.7,45.97,7.2,63701,NA,"Oceania","Melanesia"
"Venezuela",1960,59.9,60.08,6.62,8146845,41118729573,"Americas","SouthAmerica"
"WestBankandGaza",1960,NA,50.82,7.69,1069399,NA,"Asia","WesternAsia"
"Vietnam",1960,75.6,58.52,6.35,32670623,NA,"Asia","South-EasternAsia"
"Yemen",1960,225,32.64,7.29,5166311,NA,"Asia","WesternAsia"
"Zambia",1960,123.2,48.34,7.02,3049586,1666817402,"Africa","EasternAfrica"
"Zimbabwe",1960,92.6,53.11,7.16,3752390,1459732283,"Africa","EasternAfrica"
"Albania",1970,76.8,67.83,5.05,2150602,NA,"Europe","SouthernEurope"
"Algeria",1970,146,52.41,7.64,14550033,19741305571,"Africa","NorthernAfrica"
"Angola",1970,180,41.5,7.3,6300969,NA,"Africa","MiddleAfrica"
"AntiguaandBarbuda",1970,NA,67.19,3.68,65369,NA,"Americas","Caribbean"
"Argentina",1970,59.5,67.01,3.07,23973062,158559596721,"Americas","SouthAmerica"
"Armenia",1970,NA,71.47,3.21,2518408,NA,"Asia","WesternAsia"
"Aruba",1970,NA,69.14,2.91,59065,NA,"Americas","Caribbean"
"Australia",1970,17.8,70.78,2.86,12904760,158580342543,"Oceania","AustraliaandNewZealand"
"Austria",1970,25,70.07,2.29,7509746,82875391403,"Europe","WesternEurope"
"Azerbaijan",1970,NA,65.48,4.61,5178160,NA,"Asia","WesternAsia"
"Bahamas",1970,26,64.61,3.53,169356,2869784437,"Americas","Caribbean"
"Bahrain",1970,57.2,63.1,6.5,213102,NA,"Asia","WesternAsia"
"Bangladesh",1970,149.5,46.31,6.95,65048701,18877509042,"Asia","SouthernAsia"
"Barbados",1970,41.1,66.31,3.11,238847,1481812925,"Americas","Caribbean"
"Belarus",1970,NA,71.94,2.3,9039436,NA,"Europe","EasternEurope"
"Belgium",1970,20.6,70.89,2.21,9664320,109689339514,"Europe","WesternEurope"
"Belize",1970,70.3,65.72,6.3,122179,143130064,"Americas","CentralAmerica"
"Benin",1970,157.1,43.93,6.75,2907769,831774871.3,"Africa","WesternAfrica"
"Bhutan",1970,181.2,42.31,6.67,291457,NA,"Asia","SouthernAsia"
"Bolivia",1970,144.4,47.44,6.58,4505774,3909176407,"Americas","SouthAmerica"
"BosniaandHerzegovina",1970,60,69.49,2.88,3745637,NA,"Europe","SouthernEurope"
"Botswana",1970,85.3,54.3,6.64,693021,283867117.2,"Africa","SouthernAfrica"
"Brazil",1970,102.5,59.73,5.02,95982453,191092206861,"Americas","SouthAmerica"
"Brunei",1970,58,67.38,5.75,129729,NA,"Asia","South-EasternAsia"
"Bulgaria",1970,34.1,71.32,2.14,8494765,NA,"Europe","EasternEurope"
"BurkinaFaso",1970,149.3,40.27,6.62,5624597,795164206.9,"Africa","WesternAfrica"
"Burundi",1970,146.4,42.76,7.31,3457113,524049197.5,"Africa","EasternAfrica"
"Cambodia",1970,NA,43.28,6.48,7022185,NA,"Asia","South-EasternAsia"
"Cameroon",1970,126.2,48.97,6.21,6770967,3372153343,"Africa","MiddleAfrica"
"Canada",1970,18.5,72.58,2.31,21439200,276920125854,"Americas","NorthernAmerica"
"CapeVerde",1970,112.4,53.78,6.94,270197,NA,"Africa","WesternAfrica"
"CentralAfricanRepublic",1970,137,43.36,5.95,1828710,647622869,"Africa","MiddleAfrica"
"Chad",1970,135.9,45.72,6.53,3644911,829387598.2,"Africa","MiddleAfrica"
"Chile",1970,67.6,61.74,4.02,9561868,21083602246,"Americas","SouthAmerica"
"China",1970,80.4,61,5.75,808510713,100071867825,"Asia","EasternAsia"
"Colombia",1970,70.4,62.83,5.6,22061214,31746189470,"Americas","SouthAmerica"
"Comoros",1970,151.5,48.61,7.06,228443,NA,"Africa","EasternAfrica"
"CongoDem.Rep.",1970,149,48.13,6.21,20009902,6728080745,"Africa","MiddleAfrica"
"CongoRep.",1970,88.5,52.85,6.26,1335090,939633199,"Africa","MiddleAfrica"
"CostaRica",1970,61.2,67.34,5.01,1848873,4317137578,"Americas","CentralAmerica"
"Coted'Ivoire",1970,161,45.38,7.91,5241914,4619775632,"Africa","WesternAfrica"
"Croatia",1970,34,68.54,2.01,4423073,NA,"Europe","SouthernEurope"
"Cuba",1970,37.4,69.84,4.03,8715123,15468957115,"Americas","Caribbean"
"Cyprus",1970,29,72.73,2.61,613619,NA,"Asia","WesternAsia"
"CzechRepublic",1970,21,69.72,2.05,9811291,NA,"Europe","EasternEurope"
"Denmark",1970,13.9,73.49,1.95,4930118,80796964460,"Europe","NorthernEurope"
"Djibouti",1970,NA,51.75,6.8,159667,NA,"Africa","EasternAfrica"
"DominicanRepublic",1970,85.7,60.83,6.18,4503114,5293142768,"Americas","Caribbean"
"Ecuador",1970,96,59.21,6.13,6072520,5544774181,"Americas","SouthAmerica"
"Egypt",1970,162,52.54,5.94,34808599,20331718433,"Africa","NorthernAfrica"
"ElSalvador",1970,106.7,57.57,6.2,3668592,6955120790,"Americas","CentralAmerica"
"EquatorialGuinea",1970,NA,41.17,5.68,290905,NA,"Africa","MiddleAfrica"
"Eritrea",1970,127.3,43.02,6.65,1805480,NA,"Africa","EasternAfrica"
"Estonia",1970,21,70.51,2.1,1360236,NA,"Europe","NorthernEurope"
"Ethiopia",1970,142.5,41.9,6.98,28414999,NA,"Africa","EasternAfrica"
"Fiji",1970,43.1,59.61,4.54,520529,719628345.3,"Oceania","Melanesia"
"Finland",1970,13.2,70.4,1.83,4606740,50703772073,"Europe","NorthernEurope"
"France",1970,15.1,72.29,2.49,50843830,601287903229,"Europe","WesternEurope"
"FrenchPolynesia",1970,NA,60.18,5.06,110496,955838748.5,"Oceania","Polynesia"
"Gabon",1970,NA,45.55,5.08,590119,1722664256,"Africa","MiddleAfrica"
"Gambia",1970,126,43.31,6.09,447283,247459869.1,"Africa","WesternAfrica"
"Georgia",1970,NA,67.24,2.6,4707327,4724719621,"Asia","WesternAsia"
"Germany",1970,22.1,70.72,2.04,78366605,929852280013,"Europe","WesternEurope"
"Ghana",1970,120.1,50.08,6.95,8596977,2549677064,"Africa","WesternAfrica"
"Greece",1970,33.7,71.2,2.36,8778676,58805784184,"Europe","SouthernEurope"
"Greenland",1970,NA,65.19,3.9,46075,428840230,"Americas","NorthernAmerica"
"Grenada",1970,NA,64.62,4.6,94430,NA,"Americas","Caribbean"
"Guatemala",1970,118.2,53.5,6.24,5423384,6816110666,"Americas","CentralAmerica"
"Guinea",1970,195.2,37.89,6.2,4215442,NA,"Africa","WesternAfrica"
"Guinea-Bissau",1970,NA,45.5,6.07,711828,104038537,"Africa","WesternAfrica"
"Guyana",1970,55.4,60.75,5.07,695561,545601892.3,"Americas","SouthAmerica"
"Haiti",1970,163.4,47.1,5.76,4708639,NA,"Americas","Caribbean"
"Honduras",1970,102.2,54.68,7.27,2691309,2392072782,"Americas","CentralAmerica"
"HongKongChina",1970,NA,71.89,3.42,3958197,24091796597,"Asia","EasternAsia"
"Hungary",1970,39,69.29,2.03,10345553,24887629708,"Europe","EasternEurope"
"Iceland",1970,12.8,74,3.03,204392,2791210652,"Europe","NorthernEurope"
"India",1970,142.8,48.65,5.49,553943226,119767317248,"Asia","SouthernAsia"
"Indonesia",1970,113.1,52.71,5.47,114834781,27581801389,"Asia","South-EasternAsia"
"Iran",1970,150.8,52.43,6.44,28514011,41224753977,"Asia","SouthernAsia"
"Iraq",1970,81.5,56.61,7.36,9917982,NA,"Asia","WesternAsia"
"Ireland",1970,19,71.68,3.81,2947339,NA,"Europe","NorthernEurope"
"Israel",1970,24,70.96,3.82,2849623,28662263303,"Asia","WesternAsia"
"Italy",1970,29.7,71.62,2.47,53522670,511421885412,"Europe","SouthernEurope"
"Jamaica",1970,44.8,70.72,5.48,1873353,6271294160,"Americas","Caribbean"
"Japan",1970,13.4,72.05,2.1,103707537,1737431737253,"Asia","EasternAsia"
"Jordan",1970,65.7,61.15,7.93,1654769,NA,"Asia","WesternAsia"
"Kazakhstan",1970,NA,63.27,3.54,13109992,NA,"Asia","CentralAsia"
"Kenya",1970,91.3,53.83,8.08,11252466,3276361787,"Africa","EasternAfrica"
"Kiribati",1970,97.3,49.82,6.05,51181,59543629.28,"Oceania","Micronesia"
"SouthKorea",1970,41.4,61.22,4.53,31437141,63643234642,"Asia","EasternAsia"
"Kuwait",1970,53.5,68.93,7.24,750184,NA,"Asia","WesternAsia"
"KyrgyzRepublic",1970,92.8,60.3,4.89,2964499,NA,"Asia","CentralAsia"
"Lao",1970,141.1,44.66,5.97,2686025,NA,"Asia","South-EasternAsia"
"Latvia",1970,21,70.31,1.91,2365753,4958641112,"Europe","NorthernEurope"
"Lebanon",1970,48.1,65.52,4.95,2297403,NA,"Asia","WesternAsia"
"Lesotho",1970,131.6,49.67,5.81,1032240,184783955.1,"Africa","SouthernAfrica"
"Liberia",1970,191.3,40.1,6.7,1419728,1094083642,"Africa","WesternAfrica"
"Libya",1970,96,59.01,7.87,2114264,NA,"Africa","NorthernAfrica"
"Lithuania",1970,20.5,71.16,2.31,3137373,NA,"Europe","NorthernEurope"
"Luxembourg",1970,19.3,69.47,1.96,339673,5924720196,"Europe","WesternEurope"
"MacaoChina",1970,NA,69.2,2.17,250997,NA,"Asia","EasternAsia"
"MacedoniaFYR",1970,85,66.63,2.98,1720798,NA,"Europe","SouthernEurope"
"Madagascar",1970,93.2,47.77,7.33,6576301,2807129955,"Africa","EasternAfrica"
"Malawi",1970,207.7,41.62,7.3,4603739,549382768.3,"Africa","EasternAfrica"
"Malaysia",1970,43.5,65.08,4.87,10908634,12428892426,"Asia","South-EasternAsia"
"Maldives",1970,174,47.37,7.23,115703,NA,"Asia","SouthernAsia"
"Mali",1970,195.7,34.51,6.9,5949043,1038617256,"Africa","WesternAfrica"
"Malta",1970,24.7,71.6,1.98,304414,627739540.1,"Europe","SouthernEurope"
"Mauritania",1970,108.5,49.77,6.78,1148908,700627426.6,"Africa","WesternAfrica"
"Mauritius",1970,60.3,63.14,3.95,826447,NA,"Africa","EasternAfrica"
"Mexico",1970,77.5,61.77,6.72,52029859,180953839268,"Americas","CentralAmerica"
"MicronesiaFed.Sts.",1970,NA,60.48,6.94,61433,NA,"Oceania","Micronesia"
"Moldova",1970,50,65.39,2.58,3594516,NA,"Europe","EasternEurope"
"Mongolia",1970,NA,56.58,7.57,1278825,NA,"Asia","EasternAsia"
"Montenegro",1970,NA,69.94,2.69,519697,NA,"Europe","SouthernEurope"
"Morocco",1970,120.8,54.34,6.69,16039600,12097898528,"Africa","NorthernAfrica"
"Mozambique",1970,181.9,43.97,6.59,9262078,NA,"Africa","EasternAfrica"
"Namibia",1970,62.6,52.81,6.46,780386,NA,"Africa","SouthernAfrica"
"Nepal",1970,178.6,44.43,5.97,11986974,1731067702,"Asia","SouthernAsia"
"Netherlands",1970,12.6,73.57,2.57,12964880,166360843660,"Europe","WesternEurope"
"NewCaledonia",1970,NA,62.42,5.3,105025,1219920575,"Oceania","Melanesia"
"NewZealand",1970,16.9,71.35,2.95,2819548,NA,"Oceania","AustraliaandNewZealand"
"Nicaragua",1970,116.6,59.18,6.89,2398095,3122675612,"Americas","CentralAmerica"
"Niger",1970,137.6,38.24,7.42,4497355,1343819364,"Africa","WesternAfrica"
"Nigeria",1970,168.9,41.79,6.47,56131844,19793025795,"Africa","WesternAfrica"
"Norway",1970,13.1,74.19,2.5,3875719,57725534132,"Europe","NorthernEurope"
"Oman",1970,151.8,53.26,7.31,723850,3133194420,"Asia","WesternAsia"
"Pakistan",1970,141.1,54.06,6.6,58094239,17288181549,"Asia","SouthernAsia"
"Panama",1970,51.4,66.66,5.17,1519293,4129015842,"Americas","CentralAmerica"
"PapuaNewGuinea",1970,100.1,46.27,6.16,2434755,1624678937,"Oceania","Melanesia"
"Paraguay",1970,58,69.2,5.74,2474102,1926997660,"Americas","SouthAmerica"
"Peru",1970,103.4,55.36,6.31,13341071,27370756022,"Americas","SouthAmerica"
"Philippines",1970,55.4,62.26,6.26,35804731,29092600073,"Asia","South-EasternAsia"
"Poland",1970,32.2,69.96,2.23,32816751,NA,"Europe","EasternEurope"
"Portugal",1970,55.4,67.14,2.99,8670352,40018991717,"Europe","SouthernEurope"
"PuertoRico",1970,NA,71.35,3.15,2709813,19032753659,"Americas","Caribbean"
"Qatar",1970,50.4,67.91,6.92,109329,NA,"Asia","WesternAsia"
"Romania",1970,57.2,68.41,2.87,20549016,NA,"Europe","EasternEurope"
"Russia",1970,35.4,68.76,2,130126383,NA,"Europe","EasternEurope"
"Rwanda",1970,129.4,45.58,8.23,3754546,809941586.7,"Africa","EasternAfrica"
